Jahr;Nachname;Vorname;Geschlecht;Funktion;Departement;Reihenfolge;Bezirk
2017;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2017;Rechsteiner;Thomas;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
2017;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2017;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement;6;Gonten
2017;Bürki;Martin;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2016;Fässler;Daniel;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2016;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2016;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2016;Rechsteiner;Thomas;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
2016;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2016;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2016;Bürki;Martin;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2015;Fässler;Daniel;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2015;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2015;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2015;Rechsteiner;Thomas;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
2015;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2015;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2015;Bürki;Martin;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2014;Fässler;Daniel;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2014;Inauen;Roland;m;Stillstehender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2014;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2014;Rechsteiner;Thomas;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
2014;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2014;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2014;Bürki;Martin;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2013;Fässler;Daniel;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2013;Inauen;Roland;m;Stillstehender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2013;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2013;Rechsteiner;Thomas;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
2013;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2013;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2013;Bürki;Martin;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2012;Fässler;Daniel;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2012;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
2012;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2012;Rechsteiner;Thomas;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
2012;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2012;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2012;Bürki;Martin;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2011;Fässler;Daniel;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2011;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
2011;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2011;Rechsteiner;Thomas;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
2011;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2011;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2011;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2010;Fässler;Daniel;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2010;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
2010;Fässler;Antonia;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2010;Moser;Sepp;m;Säckelmeister;Finanzdepartement;4;Appenzell
2010;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2010;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2010;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2009;Fässler;Daniel;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2009;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
2009;Ebneter;Werner;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schwende-Rüte
2009;Moser;Sepp;m;Säckelmeister;Finanzdepartement;4;Appenzell
2009;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2009;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2009;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2008;Fässler;Daniel;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
2008;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
2008;Ebneter;Werner;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schwende-Rüte
2008;Moser;Sepp;m;Säckelmeister;Finanzdepartement;4;Appenzell
2008;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2008;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2008;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2007;Koster;Bruno;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2007;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
2007;Ebneter;Werner;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schwende-Rüte
2007;Moser;Sepp;m;Säckelmeister;Finanzdepartement;4;Appenzell
2007;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2007;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2007;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2006;Koster;Bruno;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2006;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
2006;Ebneter;Werner;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schwende-Rüte
2006;Wyser;Paul;m;Säckelmeister;Finanzdepartement;4;Appenzell
2006;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2006;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2006;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2005;Koster;Bruno;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2005;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
2005;Ebneter;Werner;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schwende-Rüte
2005;Wyser;Paul;m;Säckelmeister;Finanzdepartement;4;Appenzell
2005;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2005;Sutter;Stefan;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2005;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2004;Koster;Bruno;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2004;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
2004;Ebneter;Werner;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schwende-Rüte
2004;Wyser;Paul;m;Säckelmeister;Finanzdepartement;4;Appenzell
2004;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2004;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2004;Looser;Melchior;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Oberegg
2003;Koster;Bruno;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2003;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
2003;Ebneter;Werner;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schwende-Rüte
2003;Wyser;Paul;m;Säckelmeister;Finanzdepartement;4;Appenzell
2003;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2003;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2003;Wild;Alfred;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2002;Koster;Bruno;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2002;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
2002;Hörler;Hans;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schlatt-Haslen
2002;Wyser;Paul;m;Säckelmeister;Finanzdepartement;4;Appenzell
2002;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2002;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2002;Wild;Alfred;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2001;Koster;Bruno;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2001;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
2001;Hörler;Hans;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schlatt-Haslen
2001;Wyser;Paul;m;Säckelmeister;Finanzdepartement;4;Appenzell
2001;Koller;Lorenz;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2001;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2001;Wild;Alfred;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2000;Koster;Bruno;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2000;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
2000;Hörler;Hans;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schlatt-Haslen
2000;Wyser;Paul;m;Säckelmeister;Finanzdepartement;4;Appenzell
2000;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2000;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2000;Wild;Alfred;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
1999;Loepfe;Arthur;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1999;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1999;Hörler;Hans;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schlatt-Haslen
1999;Koster;Bruno;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1999;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1999;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
1999;Wild;Alfred;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
1998;Loepfe;Arthur;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1998;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1998;Hörler;Hans;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schlatt-Haslen
1998;Metzler-Arnold;Ruth;f;Frau Säckelmeister;Finanzdepartement;4;Appenzell
