Jahr;Nachname;Vorname;Geschlecht;Funktion;Departement;Reihenfolge;Bezirk
1987;Graf;Beat;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1987;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1987;Manser;Hans;m;Statthalter;Sanitätsdepartement;3;Gonten
1987;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1987;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1987;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1987;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1987;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1987;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1986;Graf;Beat;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1986;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1986;Manser;Hans;m;Statthalter;Sanitätsdepartement;3;Gonten
1986;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1986;Inauen;Josef;m;Landeshauptmann;Landwirtschaftsdepartement;5;Schwende-Rüte
1986;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1986;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1986;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1986;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1985;Graf;Beat;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1985;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1985;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1985;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1985;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1985;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1985;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1985;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1985;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1984;Breitenmoser;Franz;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1984;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1984;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1984;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1984;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1984;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1984;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1984;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1984;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1983;Breitenmoser;Franz;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1983;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1983;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1983;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1983;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1983;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1983;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1983;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1982;Breitenmoser;Franz;m;Stillstehender Landammann;Volkswirtschaftsdepartement;2;Schwende-Rüte
1982;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1982;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1982;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1982;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1982;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1982;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1982;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1981;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1981;Breitenmoser;Franz;m;Stillstehender Landammann;Volkswirtschaftsdepartement;3;Schwende-Rüte
1981;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1981;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1981;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1981;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1981;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1980;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1980;Breitenmoser;Franz;m;Stillstehender Landammann;Volkswirtschaftsdepartement;4;Schwende-Rüte
1980;Dörig;Albert;m;Säckelmeister;Finanzdepartement;4;Schwende-Rüte
1980;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1980;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1980;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1980;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1979;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1979;Zeller;Paul;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Schwende-Rüte
1979;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1979;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1978;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1978;Manser;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Gonten
1978;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1977;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1977;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1976;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1976;Breu;Hans;m;Zeugherr;Militärdepartement;9;Oberegg
1975;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1974;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
1973;Sutter;Alfred;m;Statthalter;Sanitätsdepartement;3;Appenzell
